FIELD	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36
PREALIGNMENT_READ_CT	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
BENCHMARK_MinutesOnSamIteration	56.3	55.2	48.05	51.17	47.68	46.45	48.17	54.55	47.78	50.97	51.08	52.67	49.02	43.72	50.08	48.2	47.67	47.03	50.4	50.18	49.87	46.5	47.82	48.57	39.65	52.82	50.77	48.23	49.83	51.45	50.23	51.03	51.62	52.88	59.48	56.2
BENCHMARK_MinutesPerMillionReads	2.34	2.32	2.35	2.33	2.2	2.35	2.2	2.25	2.35	2.7	2.4	2.3	2.19	2.19	2.18	2.25	2.3	2.09	2.35	2.14	2.25	2.09	2.32	2.24	2.12	2.31	2.19	2.16	2.17	2.26	2.18	2.26	2.22	2.32	2.33	2.27
BENCHMARK_MinutesPerMillionGoodReads	2.55	2.52	2.6	2.57	2.37	2.62	2.45	2.45	2.68	2.99	2.72	2.56	2.44	2.45	2.41	2.48	2.56	2.43	2.54	2.3	2.47	2.59	2.6	2.41	2.35	2.57	2.4	2.4	2.49	2.52	2.52	2.45	2.42	2.48	2.49	2.42
ReadPairs_AmbigGene	2052324	2061402	1613576	1754654	1747197	1562831	1742631	2002896	1541962	1496273	1511057	1808849	1889208	1676549	1764913	1659023	1643545	1718452	1598611	1786804	1600257	1441352	1377756	1522428	1500475	1845290	1784517	1712796	1691045	1729787	1684006	1781404	1817738	1763195	1788807	1772155
ReadPairs_UniqueGene	19057863	18979089	16500603	17792237	17998532	15834159	17533527	19853055	15936966	15226200	17002102	18493148	17221340	15446895	18562832	17310988	16638005	17297698	17815683	19531677	18167593	16130817	16680478	18290275	14294772	17736655	18921639	17947608	17942494	18286668	17815730	18604370	19057322	19052429	21665424	21083056
ReadPairs_UniqueGene_CDS	14268427	14250813	11834836	12716558	12676923	11369699	12606180	14262919	11636138	11188162	12669881	13422250	12888994	11542171	12752637	11872273	11821964	12465444	12128508	13295495	12716182	11380937	12201141	13350473	10374328	12954141	13213280	12464480	12382652	12835286	12275553	12887796	13361996	13477417	15185544	14946925
ReadPairs_UniqueGene_UTR	4789436	4728276	4665767	5075679	5321609	4464460	4927347	5590136	4300828	4038038	4332221	5070898	4332346	3904724	5810195	5438715	4816041	4832254	5687175	6236182	5451411	4749880	4479337	4939802	3920444	4782514	5708359	5483128	5559842	5451382	5540177	5716574	5695326	5575012	6479880	6136131
ReadPairs_NoGene	926746	866730	374859	398402	413553	360844	356988	393014	343809	312245	298469	290676	1001029	727634	429128	434347	368908	360878	423065	458287	432546	379435	336482	335457	1066247	988230	442762	426207	418054	422697	431896	468089	481574	487443	462910	407168
ReadPairs_NoGene_Intron	707426	662716	273493	289355	301061	267677	258428	282336	248532	224029	219020	206412	791359	558871	309320	322529	268574	261584	307895	332576	313707	275827	252069	247069	860524	770418	322622	311992	303958	313490	319971	350588	355714	361120	348619	301105
ReadPairs_NoGene_OneKbFromGene	91842	88800	45577	48680	48835	42299	46165	50641	44063	41154	39997	42920	89879	75052	50128	46754	45619	44903	50645	55070	51773	45358	39747	42374	78958	91679	52149	49606	50378	48242	48554	50713	53697	54742	50987	47849
ReadPairs_NoGene_TenKbFromGene	96247	91220	43571	47273	50278	39204	40411	46667	39905	36840	30886	31979	92447	73452	54854	51234	43212	40518	49826	54888	52918	45927	35152	36098	96390	99199	53625	51281	50235	47840	49944	52321	57606	56557	50256	46563
ReadPairs_NoGene_MiddleOfNowhere	31231	23994	12218	13094	13379	11664	11984	13370	11309	10222	8566	9365	27344	20259	14826	13830	11503	13873	14699	15753	14148	12323	9514	9916	30375	26934	14366	13328	13483	13125	13427	14467	14557	15024	13048	11651
Genes_Total	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675	60675
Genes_WithZeroCounts	33453	34032	37335	37101	37268	37487	37263	37041	37506	37933	38301	38036	33407	34550	37350	37289	37509	37552	36881	36600	37045	37470	38371	38231	33376	33473	37071	37302	37096	37333	37182	36915	37000	36649	37815	38205
Genes_WithNonzeroCounts	27222	26643	23340	23574	23407	23188	23412	23634	23169	22742	22374	22639	27268	26125	23325	23386	23166	23123	23794	24075	23630	23205	22304	22444	27299	27202	23604	23373	23579	23342	23493	23760	23675	24026	22860	22470
InsertSizeCalc_Kept	21383394	21308915	17710345	19157170	19477190	16838828	18474668	21279790	16899540	16272951	17928871	19493017	19478047	17309029	20407577	19044106	17948492	18706513	18082516	20210129	19164630	17135895	17734391	19428804	16183176	19801096	20478506	19564944	19308344	19817207	19308217	20144163	20881245	20467319	23436412	22939878
InsertSizeCalc_lt_readLen	342996	285314	381170	393905	334858	464809	569475	482906	444362	373806	413467	510724	330580	290594	176770	186413	381474	357324	684369	673249	509692	419087	352567	374773	354425	416841	377042	302508	414288	343470	327853	369961	255005	450890	225370	145961
InsertSizeCalc_eq_readLen	126018	103521	136891	142348	121977	167834	204436	176521	157779	133712	144121	181398	120062	108582	68077	71368	143528	132145	228433	229464	180660	151539	130032	139463	130699	155199	145169	121086	161529	135399	126565	141355	102429	171157	87381	58644
InsertSizeCalc_readLen_to_2xreadLen	18564889	17695937	15340345	16188791	16461640	14047194	15229061	17139643	13759154	13053383	14753477	14529310	16221798	14521737	14963286	14262834	14144246	15483945	15669692	17119739	15732927	14341565	14838152	16226065	13856915	17114607	17936887	16968814	17055423	17623095	16848537	17234789	17152765	17942422	18945988	17140039
InsertSizeCalc_ge_2xreadLen	2349491	3224143	1851939	2432126	2558715	2158991	2471696	3480720	2538245	2712050	2617806	4271585	2805607	2388116	5199444	4523491	3279244	2733099	1500022	2187677	2741351	2223704	2413640	2688503	1841137	2114449	2019408	2172536	1677104	1715243	2005262	2398058	3371046	1902850	4177673	5595234
InsertSizeCalc_Dropped	653539	598306	778693	788123	682092	919006	1158478	969175	923197	761767	882757	1099656	633530	542049	349296	360252	701966	670515	1754843	1566639	1035766	815709	660325	719356	678318	769079	670412	521667	743249	621945	623415	709700	475389	835748	480729	322501
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	151629	140738	130978	134933	129816	130013	147581	151717	130853	120550	145814	150625	133836	121377	100726	98590	120643	128942	164762	168525	145149	128533	136910	150471	118222	146496	141154	128014	139982	137781	129552	135797	128457	155413	143672	124342
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	501910	457568	647715	653190	552276	788993	1010897	817458	792344	641217	736943	949031	499694	420672	248570	261662	581323	541573	1590081	1398114	890617	687176	523415	568885	560096	622583	529258	393653	603267	484164	493863	573903	346932	680335	337057	198159
AggregateGenes	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185	50185
AggregateGenes_NoReads	27997	28511	31183	30991	31150	31304	31077	30929	31307	31663	31908	31687	28047	28910	31292	31227	31343	31365	30743	30481	30968	31261	31988	31903	27935	28011	30980	31225	31028	31167	31050	30857	30944	30654	31598	31941
AggregateGenes_WithReads	22188	21674	19002	19194	19035	18881	19108	19256	18878	18522	18277	18498	22138	21275	18893	18958	18842	18820	19442	19704	19217	18924	18197	18282	22250	22174	19205	18960	19157	19018	19135	19328	19241	19531	18587	18244
SpliceLoci	430189	430070	396318	399230	398621	394817	399020	403728	395654	394131	396262	396795	425012	416568	400536	397877	395693	398853	395259	398149	396950	393326	393283	395977	411141	420837	398899	396511	395757	397847	397209	399272	401378	399802	402669	402419
SpliceLoci_Known	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674	348674
SpliceLoci_Known_NoReads	174850	173871	190677	189608	189450	192376	190624	187926	190512	191128	193856	195505	176257	179046	186850	188740	191958	190531	190783	189240	188001	190749	194041	192963	181380	177489	189084	190432	191877	190065	190197	189584	186963	187989	188714	188555
SpliceLoci_Known_FewReads	41382	40811	41267	41403	41205	41368	41604	41083	40587	40907	41512	43269	41647	41722	40248	41038	41755	40998	40441	40698	39148	39553	40854	40496	41994	40838	40919	41165	41388	40082	40530	40576	39919	39779	39447	39773
SpliceLoci_Known_ManyReads	132442	133992	116730	117663	118019	114930	116446	119665	117575	116639	113306	109900	130770	127906	121576	118896	114961	117145	117450	118736	121525	118372	113779	115215	125300	130347	118671	117077	115409	118527	117947	118514	121792	120906	120513	120346
SpliceLoci_Novel	81515	81396	47644	50556	49947	46143	50346	55054	46980	45457	47588	48121	76338	67894	51862	49203	47019	50179	46585	49475	48276	44652	44609	47303	62467	72163	50225	47837	47083	49173	48535	50598	52704	51128	53995	53745
SpliceLoci_Novel_FewReads	75964	75842	44905	47609	46948	43593	47557	51671	44272	42940	44840	45221	71311	63686	48715	46353	44373	47256	44091	46716	45560	42222	42112	44465	58914	67519	47170	45007	44391	46287	45764	47724	49504	48048	50563	50227
SpliceLoci_Novel_ManyReads	5551	5554	2739	2947	2999	2550	2789	3383	2708	2517	2748	2900	5027	4208	3147	2850	2646	2923	2494	2759	2716	2430	2497	2838	3553	4644	3055	2830	2692	2886	2771	2874	3200	3080	3432	3518
SpliceEvents	13986317	14350871	11048383	11860954	12192756	10336045	11356903	13360888	10883866	10673428	12490787	13533709	12488831	11128461	13085805	12140542	11032247	11690947	10903856	12234171	12100676	10926443	12260564	13506012	9884682	12322190	12174472	11593246	11211887	11859332	11557378	12095496	13179945	12464891	15756522	16057166
SpliceEvents_KnownLoci	13846369	14209781	10969231	11776211	12108505	10260851	11273472	13266362	10806023	10598580	12409559	13448646	12359113	11016392	12997906	12058943	10954225	11606979	10828989	12152871	12020992	10854328	12185660	13423981	9785207	12200995	12089619	11512864	11133661	11777213	11477175	12011592	13090675	12378633	15661124	15961840
SpliceEvents_KnownLociWithFewReads	68221	67557	69213	69059	69035	69451	69840	68743	67908	68800	69236	72813	68695	69049	66717	68188	69857	68690	67440	67209	64741	65925	68197	67269	69502	67414	68224	68942	69433	67189	67692	67351	66482	66324	65441	65855
SpliceEvents_KnownLociWithManyReads	13778148	14142224	10900018	11707152	12039470	10191400	11203632	13197619	10738115	10529780	12340323	13375833	12290418	10947343	12931189	11990755	10884368	11538289	10761549	12085662	11956251	10788403	12117463	13356712	9715705	12133581	12021395	11443922	11064228	11710024	11409483	11944241	13024193	12312309	15595683	15895985
SpliceEvents_NovelLoci	139948	141090	79152	84743	84251	75194	83431	94526	77843	74848	81228	85063	129718	112069	87899	81599	78022	83968	74867	81300	79684	72115	74904	82031	99475	121195	84853	80382	78226	82119	80203	83904	89270	86258	95398	95326
SpliceEvents_NovelLociWithFewReads	92699	93117	53493	57003	56152	51847	57040	62116	53015	51451	53652	54465	87027	77357	58554	55463	52906	56488	52419	55764	54519	50384	50102	53470	70878	82542	56529	53942	52829	55548	54693	57080	59582	57798	61369	60730
SpliceEvents_NovelLociWithManyReads	47249	47973	25659	27740	28099	23347	26391	32410	24828	23397	27576	30598	42691	34712	29345	26136	25116	27480	22448	25536	25165	21731	24802	28561	28597	38653	28324	26440	25397	26571	25510	26824	29688	28460	34029	34596
StrandTest_frFirstStrand	9945828	9900912	8545845	9211338	9306023	8206654	9101658	10299323	8252879	7890470	8779305	9590306	8984649	8066082	9559223	8926338	8643641	8966874	9173427	10068449	9349024	8296798	8567188	9397749	7427958	9227795	9766870	9262119	9259080	9442343	9186334	9602982	9834228	9827356	11114365	10812322
StrandTest_frSecondStrand	9910673	9875000	8511104	9184302	9297288	8172153	9034919	10238636	8209506	7841939	8738525	9523401	8945013	8026361	9601700	8943846	8556226	8917405	9208437	10089010	9368795	8316067	8583152	9408987	7426957	9224879	9769959	9268505	9261999	9440641	9206631	9619681	9838886	9832379	11164353	10870502
StrandTest_ambig_genesFountOnBothStrands	1173675	1177673	1019035	1108765	1101279	982232	1102062	1273024	974565	951339	953802	1147784	1085270	958313	1109628	1045237	1037781	1084644	1002565	1126403	1010264	912617	870352	970742	867531	1052215	1127886	1086045	1070857	1092517	1062427	1122468	1152302	1117523	1126750	1120499
StrandTest_ambig_noGenes	1005787	952437	412466	440069	453974	396132	393683	436823	384913	350058	339278	330228	1095275	799175	484891	487826	411675	407170	452551	492381	471644	425612	373535	370163	1138321	1064358	483563	469212	459150	463138	475739	508106	530285	525249	510933	457907
StrandTest_ambig_other	970	1199	588	819	718	663	824	1159	874	912	718	954	1370	1147	1431	1111	1135	935	379	525	669	510	489	519	727	928	640	730	507	513	501	626	933	560	740	1149
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NumberOfChromosomesCovered	80	75	56	58	58	57	58	59	58	56	56	55	74	74	60	56	60	69	63	61	60	59	55	57	75	72	58	57	64	58	55	56	54	62	58	53
READ_LENGTH	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
COMPLETED_WITHOUT_WARNING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COMPLETED_WITHOUT_ERROR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SpliceLoci_Known_Covered	173824	174803	157997	159066	159224	156298	158050	160748	158162	157546	154818	153169	172417	169628	161824	159934	156716	158143	157891	159434	160673	157925	154633	155711	167294	171185	159590	158242	156797	158609	158477	159090	161711	160685	159960	160119
SpliceLoci_Novel_Covered	81515	81396	47644	50556	49947	46143	50346	55054	46980	45457	47588	48121	76338	67894	51862	49203	47019	50179	46585	49475	48276	44652	44609	47303	62467	72163	50225	47837	47083	49173	48535	50598	52704	51128	53995	53745
SpliceLoci_Covered	255339	256199	205641	209622	209171	202441	208396	215802	205142	203003	202406	201290	248755	237522	213686	209137	203735	208322	204476	208909	208949	202577	199242	203014	229761	243348	209815	206079	203880	207782	207012	209688	214415	211813	213955	213864
InsertSize_Mean	181.74060371333	189.043242792981	184.472794629354	187.956040584283	185.283480111864	195.190649254212	200.511392085639	197.412599795393	201.183552629243	199.233957319726	193.334521788907	210.050596067299	194.711501055522	190.478878220147	201.340469473667	198.746275409305	199.513336663604	192.791210098857	206.090726920966	199.561555099426	195.03481058596	198.809689193357	184.299737837065	183.883324727554	195.304775712753	189.408791715368	178.178829012234	178.98194536105	180.16592215262	177.524488138011	183.40574098582	183.016923115644	185.740009946725	177.582190759816	183.854557387027	196.241698146782
InsertSize_Median	145	152	141	142	146	135	135	141	139	142	143	145	145	143	163	160	142	142	136	138	142	143	145	145	142	142	141	142	138	141	144	144	150	138	154	163
GC_byPair_Mean	104.145963415145	103.542042050884	105.614902030057	105.834997209617	104.298064087798	105.764609692826	106.631789423865	106.35947766559	106.470358396693	107.128091583318	107.418779225275	107.756566279667	105.177085665634	104.463352241248	101.107464356505	101.51290421461	106.786268090575	106.795426677404	101.483083005152	101.939516093481	102.340566640377	103.174819809974	105.205764198806	105.481119466989	101.946667122142	102.054908234859	104.136867663868	104.292025269967	104.578043450214	104.261716435202	102.811180389042	102.882999471129	103.217165823041	104.111323594861	101.922431071506	102.460244285419
GC_byPair_Median	104	103	106	107	105	106	107	107	107	108	108	109	105	104	101	102	108	108	102	102	103	104	106	106	102	102	105	105	105	105	103	103	104	105	102	103
GC_byRead_Mean	52.0729817075725	51.7710210254418	52.8074510150285	52.9174986048087	52.1490320438992	52.8823048464131	53.3158947119326	53.1797388327951	53.2351791983465	53.5640457916591	53.7093896126375	53.8782831398333	52.5885428328171	52.2316761206242	50.5537321782525	50.756452107305	53.3931340452873	53.3977133387019	50.741541502576	50.9697580467405	51.1702833201884	51.5874099049868	52.6028820994029	52.7405597334943	50.9733335610712	51.0274541174297	52.0684338319341	52.1460126349836	52.2890217251068	52.1308582176012	51.405590194521	51.4414997355646	51.6085829115206	52.0556617974304	50.9612155357532	51.2301221427095
GC_byRead_Median	52	52	53	53	52	53	54	54	54	54	54	55	53	52	51	51	54	54	51	51	51	52	53	53	51	51	52	52	53	52	52	52	52	52	51	51
GeneBodyCoverage_Overall_Mean	0.491123849682313	0.489604763211416	0.509598832920139	0.512896774798025	0.51875642425842	0.509290328472691	0.510732158156795	0.514041940767429	0.502100854824427	0.499117964904558	0.492714393517144	0.516231997153925	0.485034821028596	0.490410645156441	0.526748721082174	0.530539055509399	0.513713869060417	0.508696208742984	0.526016786598293	0.53030340418445	0.514545842259046	0.515908380759834	0.498842711379389	0.499961863603984	0.498391585681149	0.495825710065671	0.520055898029907	0.523836498109815	0.525566108003153	0.517837678195355	0.525288385726883	0.525423507210111	0.52313863810051	0.514450902084436	0.517137851374014	0.514542200803378
GeneBodyCoverage_Overall_Median	0.4875	0.4875	0.5125	0.5125	0.5375	0.5125	0.5125	0.5125	0.5125	0.4875	0.4875	0.5125	0.4875	0.4875	0.5375	0.5375	0.5125	0.5125	0.5375	0.5375	0.5125	0.5125	0.4875	0.4875	0.4875	0.4875	0.5375	0.5375	0.5375	0.5125	0.5375	0.5375	0.5375	0.5125	0.5125	0.5125
GeneBodyCoverage_LowExpress_Mean	0.493726074665782	0.495499458514243	0.496627334399218	0.495576184521949	0.498193336025419	0.499346471797584	0.500505118218881	0.497838884457699	0.493798227435072	0.493605094797669	0.492367149897189	0.503793994884589	0.490200101723953	0.493009788289485	0.494673443953486	0.499169140237791	0.498197147958614	0.493881762348637	0.508375514302381	0.507250547396253	0.502886812384256	0.503940133658244	0.495180673306445	0.497622006459165	0.498480453537663	0.49339175960545	0.498867604241649	0.498136674216378	0.50391263032146	0.499235885806201	0.502020836045992	0.50355912736019	0.49871259064124	0.503895834834618	0.502502960637107	0.498989837488376
GeneBodyCoverage_LowExpress_Median	0.4875	0.4875	0.4875	0.4875	0.4875	0.5125	0.5125	0.4875	0.4875	0.4875	0.4875	0.5125	0.4875	0.4875	0.4875	0.4875	0.5125	0.4875	0.5125	0.5125	0.5125	0.5125	0.4875	0.4875	0.4875	0.4875	0.5125	0.4875	0.5125	0.5125	0.5125	0.5125	0.4875	0.5125	0.5125	0.4875
GeneBodyCoverage_UMQuartile_Mean	0.47934132475802	0.478728817116769	0.488660637759785	0.493843736560714	0.502116794781479	0.490505805271724	0.491835365792939	0.494155683263288	0.482119272305272	0.478215669377925	0.47537714738647	0.502788919243755	0.472191116373453	0.477038543222842	0.512286245887835	0.51474945547405	0.496639223340402	0.488769054389322	0.51371777367157	0.516807310494322	0.499381912182652	0.4960325980548	0.486024107515082	0.486976978461129	0.489792301293336	0.488836068402004	0.50254702879421	0.508492737029147	0.509371173396855	0.500513318114019	0.508622595246617	0.507999112266336	0.504327226923695	0.495174043718933	0.504550229741254	0.501455958970126
GeneBodyCoverage_UMQuartile_Median	0.4875	0.4625	0.4875	0.4875	0.5125	0.4875	0.4875	0.4875	0.4875	0.4625	0.4625	0.5125	0.4625	0.4625	0.5125	0.5125	0.5125	0.4875	0.5125	0.5375	0.5125	0.4875	0.4875	0.4875	0.4875	0.4875	0.5125	0.5125	0.5125	0.5125	0.5125	0.5125	0.5125	0.4875	0.5125	0.5125
geneDiversityProfile_top1count	249648	252514	210089	207626	222993	203179	222510	258749	374972	368785	618376	614611	217528	188643	228250	228855	208129	219007	271258	289264	525219	486750	720251	734488	182411	219283	230666	210476	210258	248354	232150	254822	434256	467298	892361	850835
geneDiversityProfile_top10count	1207584	1243441	1354251	1512162	1562569	1263458	1408755	1628775	1493094	1437797	2369508	2368964	1078631	980079	1632317	1498216	1489516	1460096	1463648	1637217	1865907	1672790	2484786	2827875	931070	1144297	1655904	1584058	1605815	1544535	1460986	1530525	1761979	1803916	2920597	2970892
geneDiversityProfile_top100count	4166614	4200887	4203808	4650532	4735358	4005751	4469497	5089717	4300722	4112777	5741269	6119322	3699913	3414722	4864956	4487133	4479197	4550450	4524335	5033648	5042955	4517819	5848719	6507335	3065527	3819966	4981683	4761060	4809163	4729907	4539132	4725303	5100435	5142765	7119615	7153483
geneDiversityProfile_top1000count	9506524	9502676	9678177	10515195	10654268	9285498	10323899	11736236	9416846	9017705	11024055	12022992	8513080	7727813	10909286	10155803	9936519	10279525	10383335	11470982	10751917	9606781	10925264	12071304	7061132	8826000	11184043	10650818	10703445	10780147	10433415	10890023	11198624	11229436	13868532	13664335
geneDiversityProfile_top1pct	0.0130994750040967	0.0133048535680506	0.0127322013625805	0.0116694713542766	0.0123895104334065	0.0128316887559358	0.0126905442356236	0.0130332082392357	0.023528443243212	0.0242204226924643	0.0363705617105461	0.0332345255659015	0.0126313051133071	0.012212357240727	0.0122960763745532	0.0132202159691867	0.0125092521609412	0.0126610488863894	0.0152257985281844	0.0148099930180086	0.0289096634870673	0.030175160997735	0.0431792781957447	0.0401572967054897	0.012760679218948	0.0123632669181421	0.0121905930030691	0.011727245212844	0.0117184378046887	0.0135811510330914	0.0130306195704582	0.0136968894942425	0.0227868322737056	0.0245269513929169	0.0411882546125107	0.0403563411300525
geneDiversityProfile_top10pct	0.063364082321297	0.0655163690944281	0.0820728187933496	0.0849899874872395	0.0868164692542703	0.0797931863637343	0.0803463558700996	0.0820415296285635	0.093687468493062	0.0944291418738753	0.139365591383936	0.128099553412972	0.0626333955429717	0.063448285237907	0.0879346966023288	0.0865471110025609	0.0895249159980418	0.0844098445931938	0.0821550316089481	0.0838236778132262	0.102705240039228	0.103701505013664	0.148963716747206	0.154610851941811	0.0651336026905501	0.0645159417037767	0.0875137719306451	0.0882601180056975	0.0894978702514823	0.0844623525729236	0.0820053963547943	0.0822669620094634	0.0924567995440283	0.094681680745274	0.134804516172866	0.140913727118118
geneDiversityProfile_top100pct	0.218629654332178	0.221342921148639	0.254766931850915	0.261379836610765	0.263096901458408	0.252981607674901	0.254911461909518	0.256369460518797	0.269858265368703	0.270111846685319	0.337679952749372	0.330896719152413	0.214844663655674	0.221062032207767	0.262080484270934	0.259207215671341	0.269214788672079	0.263066796518242	0.253952374433245	0.257717143284727	0.277579699192953	0.280073786715205	0.350632577795432	0.355781145991517	0.214450919538976	0.21537127491063	0.263279676776415	0.265275461777413	0.268032024979359	0.258653298676391	0.254782262640936	0.253988874656868	0.267636502127634	0.269926999859178	0.328616462802667	0.339300099568108
geneDiversityProfile_top1000pct	0.498824238583308	0.500691893061885	0.586534746639259	0.590999040761429	0.591952054756466	0.58642192490299	0.588809028554266	0.591155164784463	0.590880723470201	0.592249215168591	0.648393651561436	0.650132254389572	0.494333193584239	0.500282613431372	0.5876951318635	0.586668016868823	0.597218176097435	0.594271272397055	0.582819923322614	0.587301438581029	0.591818464889653	0.595554521509977	0.654973076910626	0.659984828002859	0.493966045768341	0.497613557911568	0.591071576833275	0.593439415436308	0.596541651344568	0.58950854250758	0.585629384818921	0.585347582315338	0.587628419145145	0.589396554108665	0.640122805812616	0.648119276446451
input.read.pair.count	25253258	24928636	21697224	23346630	22791170	21306597	23885538	26205482	22052711	20413370	22914356	24904261	23629657	21146325	23754919	22235489	22289451	23814838	23813500	25580741	23699121	23549454	21704506	22925207	19900738	24264947	24292270	23433291	24273420	23877196	24059117	23773378	24354426	24128730	26390387	25740033
